host,uptime,module,type,failure
ipdsl-mex-lago-4,"1y, 1m, 1w",0/0/CPU0,A9K-MOD80-SE,0/0/CPU0 BRINGDOWN 
ipdsl-gto-pedromoreno-46,"1y, 2m, 3w",0/0/CPU0,A9K-MOD80-SE,0/0/CPU0 ERRORS
vpn-mex-ctsj-77,"2y, 9m, 1w",0/3/CPU0,A9K-MOD80-SE,0/3/CPU0 ERRORS
ipdsl-coa-ayuntamiento-23,"1y, 3m, 1w",0/5/CPU0,A9K-VSM-500,CGNAT DOWN
ipdsl-nvl-mayo-89,"1y, 1m, 1w",0/3/CPU0,A9K-MOD160-SE,PARITY ERROR
vpn-qro-triara-53,"1y, 8m, 1w",0/0/CPU0,A9K-24X10GE-1G-SE,PARITY ERROR
