Device,Years,Weeks,Days,Hours
ipdsl-qoo-cascada-35,0,11,6,15
ipdsl-jal-dominguez-3,0,16,5,16
ipdsl-mex-sanjeronimo-9,1,14,3,15
ipdsl-yuc-yaxkin-31,0,5,1,15
ipdsl-gto-irapuato-20,1,12,6,16
ipdsl-mex-ctsj-64,0,4,4,16
ipdsl-slp-colonias-4,1,21,6,15
ipdsl-ver-cordoba-21,1,22,6,15
ipdsl-tab-paseo-30,1,20,5,16
ipdsl-hgo-revolucionp-28,0,17,0,16
ipdsl-nvl-revolucion-71,1,14,0,15
ipdsl-mch-uruapan-22,0,5,5,16
ipdsl-tam-madero-27,0,26,6,15
ipdsl-nay-cultura-19,0,2,5,14
ipdsl-mex-vallejo-106,0,5,3,16
ipdsl-edo-arboledas-3,0,23,4,16
ipdsl-nvl-revolucion-70,1,20,3,16
ipdsl-coa-ayuntamiento-24,1,12,3,16
ipdsl-tam-nuevolaredo-28,0,18,0,16
ipdsl-edo-neza-4,0,4,5,16
ipdsl-yuc-plaza-46,1,13,4,15
ipdsl-mex-popocatepetl-81,0,3,4,16
ipdsl-qro-obrera-8,1,21,6,15
ipdsl-mex-nextengo-129,0,3,4,16
ipdsl-mex-nextengo-130,0,6,5,16
ipdsl-edo-naucalpan-4,0,12,4,15
ipdsl-qro-corregidora-38,0,11,5,15
ipdsl-col-ctc-25,0,17,4,15
ipdsl-mex-estrella-29,1,12,4,16
ipdsl-edo-cuautitlan-45,1,14,5,16
ipdsl-mch-morelia-36,0,4,3,16
ipdsl-bcs-lapazbcs-25,0,23,5,14
ipdsl-edo-chalco-19,0,18,1,16
ipdsl-oax-juchitan-4,1,17,0,16
ipdsl-oax-belisario-13,0,12,3,14
ipdsl-coa-fuentes-39,0,3,5,15
ipdsl-jal-bandera-27,1,16,6,16
ipdsl-coa-ayuntamiento-23,0,5,0,14
ipdsl-mex-popocatepetl-80,0,6,5,16
ipdsl-mex-popocatepetl-75,0,4,4,15
ipdsl-tam-anaya-16,0,26,1,16
ipdsl-edo-neza-5,0,0,0,15
ipdsl-mex-culhuacan-67,0,4,6,16
ipdsl-gto-aztecas-38,0,28,5,15
ipdsl-nvl-mayo-88,1,13,0,16
ipdsl-mex-estrella-28,1,22,3,16
ipdsl-chi-oasis-6,1,16,5,16
ipdsl-mex-popocatepetl-82,0,4,5,16
ipdsl-mex-vallejo-111,0,3,6,15
ipdsl-mex-lago-4,0,12,4,16
ipdsl-tab-villahermosa-7,1,14,0,15
ipdsl-yuc-yaxkin-30,1,13,4,17
ipdsl-slp-alameda-36,0,11,4,16
ipdsl-jal-ptovallarta-21,1,20,3,16
ipdsl-mex-estrella-26,0,3,6,16
ipdsl-edo-nevado-43,0,6,5,15
ipdsl-ver-leandrovalle-28,0,24,0,14
ipdsl-chi-catedral-49,0,17,6,16
ipdsl-chi-copernico-53,0,17,1,15
ipdsl-edo-cuautitlan-44,0,23,6,15
ipdsl-mex-roma-83,0,5,3,16
ipdsl-mex-nextengo-126,0,5,0,16
ipdsl-qro-corregidora-35,1,23,5,15
ipdsl-mex-culhuacan-63,0,3,5,15
ipdsl-mex-ctsj-56,0,6,4,16
ipdsl-mex-ctsj-57,0,5,1,15
ipdsl-son-obregon-25,0,3,5,15
ipdsl-hgo-tulancingo-7,1,11,3,18
ipdsl-edo-tollocan-1,1,14,6,16
ipdsl-edo-satelite-4,0,4,5,15
ipdsl-mor-mirador-40,0,6,5,15
ipdsl-mex-vallejo-114,0,3,4,16
ipdsl-mex-vallejo-119,0,17,5,16
ipdsl-mex-vallejo-113,0,6,3,16
ipdsl-coa-fuentes-42,0,4,6,16
ipdsl-mex-bosques-9,0,12,5,15
ipdsl-ver-leandrovalle-34,1,20,6,17
ipdsl-mex-vallejo-115,1,13,3,16
ipdsl-mex-roma-90,0,4,0,15
ipdsl-mex-vallejo-120,1,17,6,16
ipdsl-mex-nextengo-140,0,5,1,16
ipdsl-ver-pozarica-25,1,21,3,16
ipdsl-jal-ctg-78,1,28,6,16
ipdsl-jal-toscano-5,1,5,1,19
ipdsl-edo-cuautitlan-50,1,16,3,15
ipdsl-jal-zapopan-6,0,8,1,16
ipdsl-mex-roma-89,0,23,5,16
ipdsl-chi-catedral-51,0,16,6,15
ipdsl-jal-lasfuentes-35,1,19,4,16
ipdsl-son-cortinez-20,0,6,0,16
ipdsl-sin-losmochis-23,0,6,1,15
ipdsl-dgo-gomezpalacio-2,0,4,5,15
ipdsl-mor-zapata-9,0,5,3,16
ipdsl-edo-toluca-9,1,13,0,16
ipdsl-mex-roma-87,0,5,0,16
ipdsl-hgo-tula-4,1,6,4,11
ipdsl-nvl-anahuac-37,0,12,6,15
ipdsl-zac-plata-22,0,7,6,16
ipdsl-mex-balbuena-4,0,24,1,16
ipdsl-sin-emiliano-38,1,11,3,17
ipdsl-nvl-santafe-28,1,13,6,17
ipdsl-tam-matamoros-17,0,22,1,15
ipdsl-sin-republica-25,0,6,3,16
ipdsl-ags-pedroparga-17,1,16,6,17
ipdsl-mor-zapata-10,0,4,1,16
ipdsl-dgo-zarco-22,0,17,3,15
ipdsl-qoo-kukulcan-29,0,11,5,16
ipdsl-ver-petrolera-13,0,5,0,15
ipdsl-ver-mocambo-30,1,14,0,15
ipdsl-edo-nevado-47,1,14,0,17
ipdsl-qoo-kukulcan-30,1,13,6,16
ipdsl-son-yanez-67,0,24,1,15
ipdsl-jal-fresno-6,0,6,1,16
ipdsl-ver-mocambo-29,0,3,4,16
ipdsl-chi-copernico-56,0,8,3,15
ipdsl-jal-lasfuentes-34,0,6,4,16
ipdsl-mex-sanjeronimo-8,0,12,1,16
ipdsl-nvl-mayo-89,1,13,4,17
ipdsl-mex-bosques-8,1,8,4,16
ipdsl-gto-aztecas-40,0,16,6,16
ipdsl-jal-tequila-1,1,14,3,17
ipdsl-jal-fresno-7,0,13,0,15
ipdsl-nvl-revolucion-72,1,12,5,17
ipdsl-jal-tepatitlan-9,0,35,5,14
ipdsl-jal-tlaquepaque-67,1,12,5,17
ipdsl-chs-tuxtla-31,0,6,0,13
ipdsl-tlx-staana-11,0,0,1,14
ipdsl-mex-popocatepetl-84,0,4,1,16
ipdsl-jal-lasfuentes-36,0,6,0,16
ipdsl-nvl-valle-17,1,20,3,17
ipdsl-mor-mirador-35,0,3,5,16
ipdsl-mex-cdadazteca-6,0,12,0,15
ipdsl-jal-zapopan-5,0,11,6,16
ipdsl-mex-culhuacan-68,0,4,4,15
ipdsl-gto-pedromoreno-46,0,4,6,15
ipdsl-ver-pozarica-20,0,17,6,16
ipdsl-qro-corregidora-39,1,21,3,16
ipdsl-mex-popocatepetl-79,0,5,5,16
ipdsl-nvl-mayo-90,1,12,3,16
ipdsl-slp-colonias-5,0,5,5,16
ipdsl-cam-campeche-15,0,5,1,16
ipdsl-chs-tuxtla-30,0,17,5,16
ipdsl-mex-roma-82,0,4,6,13
ipdsl-mex-ctsj-65,0,6,1,15
ipdsl-mex-culhuacan-70,1,9,0,16
ipdsl-gto-pedromoreno-44,0,4,4,17
ipdsl-pue-ctp-59,0,12,0,15
ipdsl-mex-xochimilco-4,0,6,5,16
ipdsl-slp-alameda-38,1,13,4,17
ipdsl-mex-nextengo-131,0,4,3,16
ipdsl-jal-escritores-3,0,3,6,16
ipdsl-edo-cuautitlan-46,0,18,0,16
